t # 0
v 0 18
v 1 24
v 2 5
v 3 16
v 4 11
v 5 27
v 6 22
v 7 15
v 8 13
v 9 3
v 10 30
v 11 7
v 12 29
v 13 17
v 14 25
v 15 14
v 16 10
v 17 2
v 18 31
v 19 21
e 4 18 1
e 4 19 1
e 4 20 1
e 4 21 1
e 4 22 1
e 4 23 1
e 4 24 1
e 5 6 1
e 5 7 1
e 5 8 1
e 5 9 1
e 5 10 1
e 5 11 1
e 5 13 1
e 5 14 1
e 5 15 1
e 5 17 1
e 5 18 1
e 5 19 1
e 5 20 1
e 5 22 1
e 5 23 1
e 6 7 1
e 6 10 1
e 6 14 1
e 6 16 1
e 6 17 1
e 6 18 1
e 6 19 1
e 6 20 1
e 6 22 1
e 6 23 1
e 6 24 1
e 7 8 1
e 7 9 1
e 7 10 1
e 7 12 1
e 7 14 1
e 7 15 1
e 7 17 1
e 7 18 1
e 7 19 1
e 7 20 1
e 7 22 1
e 7 23 1
e 7 24 1
e 8 9 1
e 8 10 1
e 8 11 1
e 8 12 1
e 8 13 1
e 8 15 1
e 8 16 1
e 8 17 1
e 8 18 1
e 8 19 1
e 8 20 1
e 8 21 1
e 8 22 1
e 9 10 1
e 9 11 1
e 9 12 1
e 9 13 1
e 9 14 1
e 9 15 1
e 9 17 1
e 9 18 1
e 9 19 1
e 9 20 1
e 9 21 1
e 9 22 1
e 9 23 1
e 9 24 1
e 10 12 1
e 10 14 1
e 10 15 1
e 10 16 1
e 10 17 1
e 10 18 1
e 10 20 1
e 10 21 1
e 10 22 1
e 10 23 1
e 10 24 1
e 11 12 1
e 11 13 1
e 11 14 1
e 11 15 1
e 11 16 1
e 11 17 1
e 11 19 1
e 11 20 1
e 11 22 1
e 11 23 1
e 12 13 1
e 12 15 1
e 12 16 1
e 12 17 1
e 12 20 1
e 12 21 1
e 12 22 1
e 12 23 1
e 12 24 1
e 13 16 1
e 13 18 1
e 13 19 1
e 13 20 1
e 13 21 1
e 13 23 1
e 13 24 1
e 14 15 1
e 14 17 1
e 14 18 1
e 14 19 1
e 14 20 1
e 14 22 1
e 14 24 1
e 15 16 1
e 15 18 1
e 15 19 1
e 15 20 1
e 15 21 1
e 15 23 1
e 15 24 1
e 16 17 1
e 16 18 1
e 16 19 1
e 16 21 1
e 16 23 1
e 16 24 1
e 17 18 1
e 17 19 1
e 17 20 1
e 17 21 1
e 17 22 1
e 17 24 1
e 18 20 1
e 18 22 1
e 19 22 1
e 19 23 1
e 19 24 1
e 20 21 1
e 20 22 1
e 20 23 1
e 20 24 1
e 21 23 1
e 21 24 1
e 22 23 1
e 22 24 1
t # 11
v 0 2
v 1 28
v 2 16
v 3 29
v 4 9
v 5 23
v 6 21
v 7 27
v 8 25
v 9 8
v 10 18
v 11 0
v 12 5
v 13 14
v 14 30
v 15 22
v 16 20
v 17 26
v 18 4
v 19 24
v 20 6
v 21 15
v 22 12
v 23 13
v 24 31
v 25 10
v 26 17
v 27 7
v 28 3
v 29 11
e 0 1 1
e 0 2 1
e 0 3 1
e 0 6 1
e 0 7 1
e 0 8 1
e 0 9 1
e 0 11 1
e 0 16 1
e 0 17 1
e 0 18 1
e 0 19 1
e 0 20 1
e 0 22 1
e 0 24 1
e 1 2 1
e 1 3 1
e 1 4 1
e 1 9 1
e 1 10 1
e 1 12 1
e 1 14 1
e 1 18 1
e 1 20 1
e 1 23 1
e 1 24 1
e 1 25 1
e 1 26 1
e 2 3 1
e 2 4 1
e 2 8 1
e 2 10 1
e 2 12 1
e 2 13 1
e 2 16 1
e 2 19 1
e 2 20 1
e 2 21 1
e 2 22 1
e 2 24 1
e 2 25 1
e 2 26 1
e 2 27 1
e 2 28 1
e 2 29 1
e 3 5 1
e 3 6 1
e 3 13 1
e 3 14 1
e 3 17 1
e 3 20 1
e 3 22 1
e 3 23 1
e 3 26 1
e 3 28 1
e 3 29 1
e 4 5 1
e 4 7 1
e 4 11 1
e 4 14 1
e 4 16 1
e 4 20 1
e 4 21 1
e 4 22 1
e 4 23 1
e 4 24 1
e 4 25 1
e 4 28 1
e 5 6 1
e 5 9 1
e 5 14 1
e 5 15 1
e 5 16 1
e 5 17 1
e 5 19 1
e 5 22 1
e 5 24 1
e 5 27 1
e 5 29 1
e 6 7 1
e 6 11 1
e 6 12 1
e 6 15 1
e 6 16 1
e 6 17 1
e 6 18 1
e 6 19 1
e 6 20 1
e 6 21 1
e 6 23 1
e 6 24 1
e 6 26 1
e 6 27 1
e 7 8 1
e 7 10 1
e 7 11 1
e 7 12 1
e 7 13 1
e 7 14 1
e 7 15 1
e 7 17 1
e 7 18 1
e 7 19 1
e 7 20 1
e 7 21 1
e 7 25 1
e 7 27 1
e 8 9 1
e 8 10 1
e 8 12 1
e 8 13 1
e 8 18 1
e 8 21 1
e 8 22 1
e 8 27 1
e 8 28 1
e 8 29 1
e 9 10 1
e 9 12 1
e 9 15 1
e 9 16 1
e 9 17 1
e 9 19 1
e 9 21 1
e 9 28 1
e 9 29 1
e 10 11 1
e 10 13 1
e 10 14 1
e 10 17 1
e 10 18 1
e 10 20 1
e 10 22 1
e 10 25 1
e 11 13 1
e 11 14 1
e 11 15 1
e 11 16 1
e 11 17 1
e 11 18 1
e 11 19 1
e 11 23 1
e 11 27 1
e 11 28 1
e 12 13 1
e 12 14 1
e 12 19 1
e 12 24 1
e 12 27 1
e 12 29 1
e 13 14 1
e 13 16 1
e 13 17 1
e 13 18 1
e 13 19 1
e 13 20 1
e 13 23 1
e 13 24 1
e 13 25 1
e 13 27 1
e 13 28 1
e 13 29 1
e 14 15 1
e 14 19 1
e 14 20 1
e 14 23 1
e 14 25 1
e 14 27 1
e 14 28 1
e 15 16 1
e 15 17 1
e 15 19 1
e 15 20 1
e 15 22 1
e 15 23 1
e 15 29 1
e 16 17 1
e 16 18 1
e 16 19 1
e 16 20 1
e 16 25 1
e 16 26 1
e 16 27 1
e 17 18 1
e 17 21 1
e 17 23 1
e 17 25 1
e 17 27 1
e 17 29 1
e 18 20 1
e 18 21 1
e 18 23 1
e 18 24 1
e 18 25 1
e 18 26 1
e 18 29 1
e 19 20 1
e 19 25 1
e 19 27 1
e 20 23 1
e 20 29 1
e 21 22 1
e 21 24 1
e 21 25 1
e 21 26 1
e 21 27 1
e 22 25 1
e 22 26 1
e 22 27 1
e 22 28 1
e 22 29 1
e 23 24 1
e 23 25 1
e 23 26 1
e 23 27 1
e 23 28 1
e 23 29 1
e 24 25 1
e 24 26 1
e 24 28 1
e 24 29 1
e 25 27 1
e 26 27 1
e 26 28 1
t # 12
v 0 19
v 1 7
v 2 31
v 3 16
v 4 0
v 5 24
v 6 11
v 7 18
v 8 9
v 9 12
v 10 3
v 11 13
v 12 17
v 13 20
v 14 29
v 15 22
v 16 26
v 17 27
v 18 15
v 19 8
v 20 21
v 21 2
v 22 14
v 23 6
v 24 25
e 0 2 1
e 0 4 1
e 0 7 1
e 0 11 1
e 0 12 1
e 0 13 1
e 0 15 1
e 0 16 1
e 0 17 1
e 0 21 1
e 0 23 1
e 1 3 1
e 1 4 1
e 1 6 1
e 1 7 1
e 1 8 1
e 1 21 1
e 1 23 1
e 1 24 1
e 2 12 1
e 2 13 1
e 2 18 1
e 2 19 1
e 2 20 1
e 2 24 1
e 3 4 1
e 3 5 1
e 3 6 1
e 3 8 1
e 3 10 1
e 3 11 1
e 3 13 1
e 3 17 1
e 3 19 1
e 3 20 1
e 3 21 1
e 3 24 1
e 4 7 1
e 4 8 1
e 4 9 1
e 4 11 1
e 4 16 1
e 4 17 1
e 4 19 1
e 4 22 1
e 4 23 1
e 4 24 1
e 5 7 1
e 5 8 1
e 5 9 1
e 5 10 1
e 5 11 1
e 5 13 1
e 5 15 1
e 5 21 1
e 5 23 1
e 6 12 1
e 6 15 1
e 6 16 1
e 7 8 1
e 7 10 1
e 7 11 1
e 7 15 1
e 7 17 1
e 7 18 1
e 8 11 1
e 8 14 1
e 8 19 1
e 8 22 1
e 8 23 1
e 9 11 1
e 9 12 1
e 9 18 1
e 9 19 1
e 9 22 1
e 10 12 1
e 10 15 1
e 10 16 1
e 10 18 1
e 10 19 1
e 10 20 1
e 10 21 1
e 10 22 1
e 11 14 1
e 11 15 1
e 11 20 1
e 11 22 1
e 12 18 1
e 12 21 1
e 13 19 1
e 13 24 1
e 14 15 1
e 14 16 1
e 14 18 1
e 14 21 1
e 15 17 1
e 15 19 1
e 15 21 1
e 16 18 1
e 16 22 1
e 16 24 1
e 17 19 1
e 18 20 1
e 18 21 1
e 18 23 1
e 19 21 1
e 19 23 1
e 19 24 1
e 20 21 1
e 21 22 1
e 21 24 1
e 22 24 1
t # 13
v 0 9
v 1 28
v 2 0
v 3 10
v 4 7
v 5 23
v 6 3
v 7 2
v 8 31
v 9 25
v 10 8
v 11 20
v 12 27
v 13 22
v 14 19
v 15 18
v 16 17
v 17 15
v 18 13
v 19 21
v 20 30
v 21 29
v 22 14
v 23 11
v 24 12
v 25 26
v 26 5
e 0 5 1
e 0 7 1
e 1 8 1
e 1 19 1
e 2 4 1
e 2 6 1
e 2 25 1
e 2 26 1
e 3 5 1
e 4 7 1
e 4 8 1
e 4 11 1
e 4 19 1
e 4 20 1
e 5 10 1
e 5 11 1
e 5 21 1
e 7 25 1
e 8 21 1
e 8 24 1
e 9 11 1
e 9 17 1
e 9 24 1
e 11 14 1
e 11 22 1
e 12 16 1
e 12 21 1
e 12 23 1
e 12 24 1
e 12 25 1
e 13 20 1
e 13 21 1
e 14 15 1
e 14 22 1
e 17 21 1
e 17 23 1
e 18 19 1
e 18 25 1
e 19 22 1
e 20 23 1
e 21 25 1
t # 14
v 0 11
v 1 30
v 2 16
v 3 14
v 4 6
v 5 19
v 6 25
v 7 3
v 8 7
v 9 1
v 10 21
v 11 8
v 12 28
v 13 4
v 14 24
v 15 17
v 16 29
v 17 0
v 18 10
v 19 27
v 20 2
v 21 23
v 22 13
v 23 22
v 24 12
v 25 20
v 26 31
v 27 18
e 0 6 1
e 0 7 1
e 0 12 1
e 0 14 1
e 0 19 1
e 0 21 1
e 0 23 1
e 0 25 1
e 0 26 1
e 1 2 1
e 1 3 1
e 1 5 1
e 1 7 1
e 1 12 1
e 1 14 1
e 1 15 1
e 1 16 1
e 1 20 1
e 2 3 1
e 2 8 1
e 2 10 1
e 2 14 1
e 2 22 1
e 2 25 1
e 2 27 1
e 3 5 1
e 3 6 1
e 3 10 1
e 3 13 1
e 3 22 1
e 3 25 1
e 4 8 1
e 4 11 1
e 4 13 1
e 4 20 1
e 4 23 1
e 4 24 1
e 4 25 1
e 4 26 1
e 5 6 1
e 5 12 1
e 5 14 1
e 5 23 1
e 5 24 1
e 5 26 1
e 6 12 1
e 6 16 1
e 6 17 1
e 6 21 1
e 6 24 1
e 7 8 1
e 7 11 1
e 7 13 1
e 7 14 1
e 7 22 1
e 8 15 1
e 8 16 1
e 8 19 1
e 8 21 1
e 8 22 1
e 8 25 1
e 9 14 1
e 9 17 1
e 9 21 1
e 9 26 1
e 9 27 1
e 10 14 1
e 10 19 1
e 10 20 1
e 10 23 1
e 10 26 1
e 11 14 1
e 11 17 1
e 11 21 1
e 11 23 1
e 11 26 1
e 11 27 1
e 12 18 1
e 12 19 1
e 12 26 1
e 13 14 1
e 13 22 1
e 13 23 1
e 13 26 1
e 14 15 1
e 14 18 1
e 14 19 1
e 14 20 1
e 14 21 1
e 14 23 1
e 15 17 1
e 15 18 1
e 15 20 1
e 15 21 1
e 15 27 1
e 16 19 1
e 16 26 1
e 17 18 1
e 17 24 1
e 18 23 1
e 18 24 1
e 19 23 1
e 19 25 1
e 19 27 1
e 20 23 1
e 20 24 1
e 21 26 1
e 22 23 1
e 22 26 1
e 23 25 1
e 23 27 1
t # 15
v 0 20
v 1 3
v 2 30
v 3 4
v 4 1
v 5 14
v 6 5
v 7 13
v 8 29
v 9 2
v 10 6
v 11 17
v 12 27
v 13 11
v 14 7
v 15 31
v 16 0
v 17 9
v 18 8
v 19 26
v 20 24
v 21 28
v 22 23
v 23 12
v 24 15
v 25 16
v 26 21
v 27 18
v 28 22
v 29 19
v 30 25
e 0 5 1
e 0 7 1
e 0 10 1
e 0 19 1
e 0 20 1
e 0 25 1
e 0 26 1
e 0 27 1
e 1 7 1
e 1 8 1
e 1 10 1
e 1 11 1
e 1 12 1
e 1 15 1
e 1 16 1
e 1 18 1
e 1 21 1
e 1 24 1
e 1 27 1
e 1 28 1
e 1 29 1
e 2 5 1
e 2 8 1
e 2 9 1
e 2 11 1
e 2 12 1
e 2 14 1
e 2 25 1
e 2 27 1
e 2 29 1
e 2 30 1
e 3 4 1
e 3 6 1
e 3 7 1
e 3 12 1
e 3 14 1
e 3 19 1
e 3 23 1
e 3 24 1
e 3 25 1
e 4 5 1
e 4 8 1
e 4 9 1
e 4 10 1
e 4 11 1
e 4 14 1
e 4 15 1
e 4 19 1
e 4 21 1
e 4 22 1
e 4 24 1
e 4 27 1
e 4 28 1
e 5 7 1
e 5 8 1
e 5 10 1
e 5 13 1
e 5 20 1
e 5 23 1
e 5 26 1
e 5 28 1
e 6 7 1
e 6 8 1
e 6 10 1
e 6 20 1
e 6 24 1
e 6 25 1
e 6 26 1
e 6 27 1
e 6 28 1
e 7 8 1
e 7 9 1
e 7 11 1
e 7 14 1
e 7 15 1
e 7 16 1
e 7 17 1
e 7 18 1
e 7 24 1
e 7 26 1
e 7 30 1
e 8 9 1
e 8 11 1
e 8 12 1
e 8 13 1
e 8 17 1
e 8 18 1
e 8 19 1
e 8 20 1
e 8 23 1
e 8 25 1
e 8 29 1
e 9 11 1
e 9 12 1
e 9 14 1
e 9 15 1
e 9 17 1
e 9 18 1
e 9 19 1
e 9 20 1
e 9 21 1
e 9 24 1
e 9 25 1
e 9 29 1
e 10 15 1
e 10 16 1
e 10 22 1
e 10 23 1
e 10 24 1
e 10 27 1
e 11 15 1
e 11 17 1
e 11 18 1
e 11 22 1
e 11 23 1
e 11 24 1
e 11 25 1
e 11 26 1
e 11 29 1
e 11 30 1
e 12 13 1
e 12 15 1
e 12 16 1
e 12 17 1
e 12 24 1
e 12 25 1
e 12 26 1
e 12 28 1
e 13 15 1
e 13 17 1
e 13 18 1
e 13 19 1
e 13 20 1
e 13 22 1
e 13 25 1
e 13 26 1
e 13 30 1
e 14 15 1
e 14 17 1
e 14 20 1
e 14 25 1
e 14 28 1
e 14 30 1
e 15 16 1
e 15 18 1
e 15 19 1
e 15 20 1
e 15 21 1
e 15 22 1
e 15 24 1
e 15 28 1
e 15 29 1
e 15 30 1
e 16 19 1
e 16 20 1
e 16 22 1
e 16 28 1
e 17 18 1
e 17 25 1
e 17 26 1
e 17 28 1
e 18 19 1
e 18 23 1
e 18 24 1
e 18 27 1
e 19 20 1
e 19 22 1
e 19 23 1
e 19 25 1
e 19 28 1
e 19 30 1
e 20 21 1
e 20 22 1
e 20 27 1
e 21 23 1
e 21 25 1
e 21 28 1
e 21 29 1
e 21 30 1
e 22 24 1
e 22 27 1
e 22 29 1
e 23 24 1
e 23 28 1
e 23 29 1
e 24 25 1
e 24 30 1
e 25 26 1
e 25 27 1
e 25 28 1
e 25 29 1
e 26 27 1
e 26 28 1
e 27 28 1
e 27 29 1
t # 16
v 0 6
v 1 4
v 2 25
v 3 0
v 4 8
v 5 10
v 6 3
v 7 13
v 8 26
v 9 27
v 10 1
v 11 17
v 12 7
v 13 22
v 14 15
v 15 24
v 16 18
v 17 5
v 18 23
v 19 20
v 20 16
v 21 9
v 22 29
v 23 12
v 24 11
v 25 28
e 0 3 1
e 0 5 1
e 0 9 1
e 0 10 1
e 0 11 1
e 0 12 1
e 0 14 1
e 0 15 1
e 0 16 1
e 0 17 1
e 0 18 1
e 0 20 1
e 0 21 1
e 0 22 1
e 0 23 1
e 0 24 1
e 0 25 1
e 1 2 1
e 1 4 1
e 1 6 1
e 1 10 1
e 1 11 1
e 1 12 1
e 1 13 1
e 1 14 1
e 1 17 1
e 1 18 1
e 1 19 1
e 1 20 1
e 1 22 1
e 1 24 1
e 1 25 1
e 2 3 1
e 2 4 1
e 2 6 1
e 2 7 1
e 2 8 1
e 2 9 1
e 2 10 1
e 2 14 1
e 2 15 1
e 2 16 1
e 2 17 1
e 2 18 1
e 2 19 1
e 2 21 1
e 2 22 1
e 2 23 1
e 2 25 1
e 3 4 1
e 3 5 1
e 3 6 1
e 3 7 1
e 3 9 1
e 3 10 1
e 3 12 1
e 3 14 1
e 3 15 1
e 3 16 1
e 3 17 1
e 3 18 1
e 3 19 1
e 3 22 1
e 3 24 1
e 3 25 1
e 4 6 1
e 4 8 1
e 4 9 1
e 4 10 1
e 4 11 1
e 4 12 1
e 4 13 1
e 4 14 1
e 4 15 1
e 4 17 1
e 4 18 1
e 4 19 1
e 4 20 1
e 4 21 1
e 4 23 1
e 5 6 1
e 5 8 1
e 5 9 1
e 5 11 1
e 5 13 1
e 5 14 1
e 5 15 1
e 5 17 1
e 5 20 1
e 5 22 1
e 5 24 1
e 5 25 1
e 6 7 1
e 6 9 1
e 6 11 1
e 6 12 1
e 6 17 1
e 6 18 1
e 6 22 1
e 6 23 1
e 6 24 1
e 6 25 1
e 7 8 1
e 7 9 1
e 7 10 1
e 7 11 1
e 7 12 1
e 7 15 1
e 7 17 1
e 7 20 1
e 7 21 1
e 7 23 1
e 8 13 1
e 8 16 1
e 8 18 1
e 8 19 1
e 8 20 1
e 8 22 1
e 8 23 1
e 8 24 1
e 9 10 1
e 9 11 1
e 9 14 1
e 9 15 1
e 9 17 1
e 9 18 1
e 9 20 1
e 9 21 1
e 9 25 1
e 10 11 1
e 10 14 1
e 10 15 1
e 10 17 1
e 10 19 1
e 10 20 1
e 10 22 1
e 10 24 1
e 10 25 1
e 11 12 1
e 11 13 1
e 11 14 1
e 11 15 1
e 11 16 1
e 11 19 1
e 11 20 1
e 11 22 1
e 11 25 1
e 12 13 1
e 12 14 1
e 12 15 1
e 12 19 1
e 12 20 1
e 12 21 1
e 12 24 1
e 12 25 1
e 13 14 1
e 13 16 1
e 13 17 1
e 13 18 1
e 13 19 1
e 13 22 1
e 13 23 1
e 14 15 1
e 14 16 1
e 14 18 1
e 14 19 1
e 14 20 1
e 14 24 1
e 14 25 1
e 15 17 1
e 15 19 1
e 15 21 1
e 15 23 1
e 15 24 1
e 15 25 1
e 16 17 1
e 16 18 1
e 16 19 1
e 16 20 1
e 16 24 1
e 16 25 1
e 17 18 1
e 17 19 1
e 17 22 1
e 17 24 1
e 18 20 1
e 18 22 1
e 18 23 1
e 18 24 1
e 18 25 1
e 19 20 1
e 19 21 1
e 19 22 1
e 19 23 1
e 19 24 1
e 20 25 1
e 21 22 1
e 21 23 1
e 21 24 1
e 22 23 1
e 22 25 1
e 23 24 1
e 23 25 1
e 24 25 1
t # 17
v 0 22
v 1 29
v 2 23
v 3 11
v 4 24
v 5 1
v 6 8
v 7 31
v 8 4
v 9 7
v 10 28
v 11 15
v 12 13
v 13 0
v 14 17
v 15 19
v 16 27
v 17 9
v 18 30
v 19 18
v 20 21
v 21 5
v 22 20
v 23 16
v 24 3
v 25 12
v 26 26
e 0 1 1
e 0 2 1
e 0 3 1
e 0 6 1
e 0 7 1
e 0 8 1
e 0 9 1
e 0 11 1
e 0 13 1
e 0 15 1
e 0 17 1
e 0 19 1
e 0 20 1
e 0 21 1
e 0 23 1
e 0 24 1
e 0 26 1
e 1 2 1
e 1 5 1
e 1 6 1
e 1 7 1
e 1 9 1
e 1 11 1
e 1 13 1
e 1 14 1
e 1 16 1
e 1 17 1
e 1 21 1
e 1 22 1
e 1 23 1
e 1 25 1
e 2 4 1
e 2 6 1
e 2 8 1
e 2 9 1
e 2 15 1
e 2 16 1
e 2 18 1
e 2 19 1
e 2 22 1
e 2 23 1
e 2 24 1
e 2 25 1
e 2 26 1
e 3 9 1
e 3 12 1
e 3 13 1
e 3 14 1
e 3 16 1
e 3 18 1
e 3 20 1
e 3 24 1
e 3 25 1
e 3 26 1
e 4 5 1
e 4 8 1
e 4 9 1
e 4 10 1
e 4 11 1
e 4 12 1
e 4 13 1
e 4 14 1
e 4 15 1
e 4 17 1
e 4 18 1
e 4 19 1
e 4 21 1
e 4 24 1
e 4 25 1
e 5 6 1
e 5 13 1
e 5 14 1
e 5 15 1
e 5 16 1
e 5 18 1
e 5 19 1
e 5 20 1
e 5 22 1
e 5 23 1
e 6 8 1
e 6 9 1
e 6 10 1
e 6 11 1
e 6 12 1
e 6 13 1
e 6 14 1
e 6 16 1
e 6 17 1
e 6 21 1
e 6 22 1
e 6 23 1
e 7 8 1
e 7 9 1
e 7 11 1
e 7 16 1
e 7 18 1
e 7 19 1
e 7 20 1
e 7 22 1
e 7 24 1
e 7 25 1
e 7 26 1
e 8 9 1
e 8 11 1
e 8 12 1
e 8 15 1
e 8 16 1
e 8 20 1
e 8 21 1
e 8 22 1
e 8 23 1
e 8 26 1
e 9 11 1
e 9 12 1
e 9 14 1
e 9 15 1
e 9 16 1
e 9 19 1
e 9 20 1
e 9 23 1
e 9 24 1
e 9 25 1
e 9 26 1
e 10 11 1
e 10 12 1
e 10 13 1
e 10 14 1
e 10 15 1
e 10 16 1
e 10 18 1
e 10 19 1
e 10 20 1
e 10 22 1
e 10 24 1
e 11 18 1
e 11 20 1
e 11 21 1
e 11 22 1
e 11 23 1
e 11 24 1
e 12 14 1
e 12 17 1
e 12 18 1
e 12 19 1
e 12 22 1
e 12 23 1
e 12 24 1
e 12 25 1
e 12 26 1
e 13 16 1
e 13 23 1
e 13 26 1
e 14 16 1
e 14 20 1
e 14 21 1
e 14 22 1
e 14 23 1
e 14 26 1
e 15 16 1
e 15 18 1
e 15 19 1
e 15 21 1
e 15 22 1
e 15 23 1
e 15 24 1
e 15 25 1
e 16 17 1
e 16 20 1
e 16 21 1
e 16 22 1
e 17 18 1
e 17 19 1
e 17 21 1
e 17 23 1
e 17 24 1
e 18 19 1
e 18 20 1
e 18 21 1
e 18 22 1
e 18 24 1
e 18 25 1
e 18 26 1
e 19 20 1
e 19 21 1
e 19 22 1
e 19 23 1
e 19 24 1
e 19 25 1
e 20 22 1
e 21 22 1
e 21 24 1
e 21 25 1
e 22 23 1
e 22 24 1
e 22 25 1
e 23 24 1
e 23 25 1
e 24 25 1
e 24 26 1
e 25 26 1
t # 18
v 0 30
v 1 21
v 2 10
v 3 12
v 4 5
v 5 28
v 6 1
v 7 7
v 8 24
v 9 23
v 10 17
v 11 11
v 12 22
v 13 2
v 14 4
v 15 19
v 16 3
v 17 16
v 18 9
v 19 26
v 20 29
v 21 25
v 22 13
v 23 8
v 24 20
v 25 18
v 26 31
v 27 6
e 0 1 1
e 0 2 1
e 0 3 1
e 0 4 1
e 0 5 1
e 0 6 1
e 0 7 1
e 0 8 1
e 0 11 1
e 0 12 1
e 0 14 1
e 0 15 1
e 0 16 1
e 0 17 1
e 0 18 1
e 0 20 1
e 0 21 1
e 0 23 1
e 0 24 1
e 0 25 1
e 0 26 1
e 0 27 1
e 1 2 1
e 1 3 1
e 1 4 1
e 1 5 1
e 1 6 1
e 1 7 1
e 1 9 1
e 1 10 1
e 1 11 1
e 1 12 1
e 1 13 1
e 1 14 1
e 1 15 1
e 1 17 1
e 1 18 1
e 1 19 1
e 1 20 1
e 1 22 1
e 1 23 1
e 1 24 1
e 1 25 1
e 1 26 1
e 1 27 1
e 2 3 1
e 2 4 1
e 2 5 1
e 2 6 1
e 2 8 1
e 2 9 1
e 2 10 1
e 2 11 1
e 2 12 1
e 2 13 1
e 2 14 1
e 2 15 1
e 2 16 1
e 2 17 1
e 2 18 1
e 2 19 1
e 2 20 1
e 2 21 1
e 2 23 1
e 2 24 1
e 2 25 1
e 2 26 1
e 2 27 1
e 3 4 1
e 3 5 1
e 3 6 1
e 3 7 1
e 3 8 1
e 3 9 1
e 3 10 1
e 3 11 1
e 3 12 1
e 3 13 1
e 3 14 1
e 3 15 1
e 3 17 1
e 3 18 1
e 3 19 1
e 3 20 1
e 3 21 1
e 3 22 1
e 3 23 1
e 3 24 1
e 3 25 1
e 3 26 1
e 3 27 1
e 4 5 1
e 4 6 1
e 4 7 1
e 4 8 1
e 4 9 1
e 4 10 1
e 4 11 1
e 4 12 1
e 4 13 1
e 4 14 1
e 4 15 1
e 4 16 1
e 4 17 1
e 4 18 1
e 4 19 1
e 4 20 1
e 4 21 1
e 4 22 1
e 4 23 1
e 4 24 1
e 4 26 1
e 4 27 1
e 5 6 1
e 5 7 1
e 5 8 1
e 5 9 1
e 5 10 1
e 5 11 1
e 5 12 1
e 5 13 1
e 5 14 1
e 5 16 1
e 5 17 1
e 5 18 1
e 5 19 1
e 5 20 1
e 5 21 1
e 5 23 1
e 5 24 1
e 5 25 1
e 5 26 1
e 5 27 1
e 6 7 1
e 6 8 1
e 6 9 1
e 6 10 1
e 6 11 1
e 6 12 1
e 6 13 1
e 6 14 1
e 6 15 1
e 6 16 1
e 6 17 1
e 6 18 1
e 6 19 1
e 6 20 1
e 6 21 1
e 6 22 1
e 6 23 1
e 6 25 1
e 6 26 1
e 6 27 1
e 7 8 1
e 7 9 1
e 7 10 1
e 7 13 1
e 7 15 1
e 7 16 1
e 7 17 1
e 7 18 1
e 7 19 1
e 7 20 1
e 7 21 1
e 7 22 1
e 7 23 1
e 7 24 1
e 7 25 1
e 7 26 1
e 7 27 1
e 8 10 1
e 8 12 1
e 8 13 1
e 8 14 1
e 8 15 1
e 8 16 1
e 8 17 1
e 8 18 1
e 8 19 1
e 8 20 1
e 8 21 1
e 8 23 1
e 8 24 1
e 8 26 1
e 8 27 1
e 9 10 1
e 9 11 1
e 9 12 1
e 9 13 1
e 9 14 1
e 9 15 1
e 9 17 1
e 9 18 1
e 9 19 1
e 9 20 1
e 9 21 1
e 9 22 1
e 9 23 1
e 9 24 1
e 9 25 1
e 9 26 1
e 9 27 1
e 10 11 1
e 10 12 1
e 10 13 1
e 10 14 1
e 10 15 1
e 10 16 1
e 10 17 1
e 10 18 1
e 10 19 1
e 10 20 1
e 10 21 1
e 10 22 1
e 10 23 1
e 10 24 1
e 10 25 1
e 10 26 1
e 10 27 1
e 11 12 1
e 11 13 1
e 11 15 1
e 11 16 1
e 11 17 1
e 11 18 1
e 11 19 1
e 11 20 1
e 11 21 1
e 11 22 1
e 11 23 1
e 11 24 1
e 11 25 1
e 11 26 1
e 11 27 1
e 12 13 1
e 12 14 1
e 12 15 1
e 12 16 1
e 12 17 1
e 12 19 1
e 12 20 1
e 12 21 1
e 12 22 1
e 12 23 1
e 12 24 1
e 12 25 1
e 12 26 1
e 12 27 1
e 13 14 1
e 13 15 1
e 13 16 1
e 13 17 1
e 13 18 1
e 13 19 1
e 13 20 1
e 13 21 1
e 13 22 1
e 13 23 1
e 13 24 1
e 13 26 1
e 13 27 1
e 14 15 1
e 14 16 1
e 14 17 1
e 14 18 1
e 14 19 1
e 14 20 1
e 14 21 1
e 14 22 1
e 14 23 1
e 14 24 1
e 14 25 1
e 14 26 1
e 14 27 1
e 15 16 1
e 15 17 1
e 15 18 1
e 15 19 1
e 15 20 1
e 15 21 1
e 15 22 1
e 15 23 1
e 15 24 1
e 15 25 1
e 15 26 1
e 15 27 1
e 16 17 1
e 16 18 1
e 16 19 1
e 16 20 1
e 16 21 1
e 16 22 1
e 16 23 1
e 16 24 1
e 16 25 1
e 16 26 1
e 16 27 1
e 17 18 1
e 17 19 1
e 17 20 1
e 17 21 1
e 17 22 1
e 17 23 1
e 17 24 1
e 17 25 1
e 17 26 1
e 17 27 1
e 18 19 1
e 18 20 1
e 18 21 1
e 18 22 1
e 18 23 1
e 18 24 1
e 18 25 1
e 18 26 1
e 18 27 1
e 19 20 1
e 19 21 1
e 19 22 1
e 19 23 1
e 19 24 1
e 19 25 1
e 19 26 1
e 19 27 1
e 20 21 1
e 20 22 1
